                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0219,                0.49718,                 1.1873,                0.92534,                 0.9371,                0.95475,                0.58557,                 1.4464,                0.55939,                 1.4883,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0166,                 0.4853,                 1.1749,                 0.9323,                 0.9371,                0.95232,                0.58314,                 1.4587,                0.57469,                 1.4974,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0059,                0.48551,                 1.1649,                0.94021,                 0.9371,                0.95421,                0.58482,                 1.4374,                0.56551,                 1.4646,               0.001307,               0.001307,               0.001307
                     38,                 1.0198,                0.49304,                 1.1814,                0.93739,                0.92555,                0.95239,                0.58781,                 1.4236,                0.56313,                 1.4735,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0171,                0.48523,                 1.1761,                0.92307,                0.91913,                0.94845,                0.58003,                 1.4583,                0.58107,                 1.4895,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0026,                0.48789,                 1.1729,                0.91616,                0.92555,                0.94864,                0.58194,                 1.4536,                0.56781,                 1.4929,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0002,                0.49705,                 1.1714,                0.92998,                0.92298,                0.95465,                0.58861,                 1.4605,                0.56251,                 1.4979,              0.0012278,              0.0012278,              0.0012278
                     42,                0.98799,                0.47979,                 1.1681,                0.92311,                 0.9294,                0.95646,                0.59256,                 1.4416,                 0.5557,                 1.4801,               0.001208,               0.001208,               0.001208
                     43,                0.95891,                0.47494,                 1.1488,                0.92015,                0.92426,                0.95017,                0.58161,                 1.4433,                0.57691,                   1.52,              0.0011882,              0.0011882,              0.0011882
                     44,                0.99072,                0.49603,                 1.1818,                0.91935,                0.92298,                0.94914,                0.57749,                 1.4466,                0.58915,                 1.4934,              0.0011684,              0.0011684,              0.0011684
                     45,                0.96915,                0.48961,                 1.1469,                0.94143,                0.92859,                0.95613,                0.57638,                 1.4563,                0.57953,                 1.5313,              0.0011486,              0.0011486,              0.0011486
                     46,                0.97124,                0.47195,                 1.1462,                0.93582,                0.91724,                 0.9559,                0.59217,                 1.4304,                0.55195,                  1.511,              0.0011288,              0.0011288,              0.0011288
                     47,                0.93559,                0.45253,                 1.1359,                0.93909,                0.93018,                0.96201,                0.60133,                 1.4253,                0.53967,                 1.4981,               0.001109,               0.001109,               0.001109
                     48,                0.91521,                0.44823,                 1.1243,                0.92906,                0.94147,                0.96386,                0.59718,                 1.4337,                0.54361,                  1.516,              0.0010892,              0.0010892,              0.0010892
                     49,                0.93794,                0.45139,                 1.1286,                0.93161,                0.92678,                0.95684,                0.58932,                 1.4538,                0.56519,                 1.5097,              0.0010694,              0.0010694,              0.0010694
                     50,                0.92001,                0.46574,                  1.124,                0.92957,                0.93068,                0.95804,                0.59165,                  1.442,                0.57504,                 1.5081,              0.0010496,              0.0010496,              0.0010496
                     51,                0.94342,                0.46529,                 1.1446,                0.94586,                0.91942,                0.95799,                0.59005,                  1.439,                0.56433,                 1.5088,              0.0010298,              0.0010298,              0.0010298
                     52,                0.91019,                0.44591,                 1.1319,                0.94326,                0.91766,                 0.9522,                0.59045,                 1.4424,                0.54893,                 1.5313,                0.00101,                0.00101,                0.00101
                     53,                0.91184,                0.43678,                 1.1219,                0.93693,                0.93441,                0.95908,                0.58851,                 1.4506,                0.55574,                 1.5154,              0.0009902,              0.0009902,              0.0009902
                     54,                0.88918,                0.44641,                 1.1179,                0.91645,                0.93325,                0.96308,                0.59251,                 1.4384,                0.54787,                 1.5175,              0.0009704,              0.0009704,              0.0009704
                     55,                0.88174,                 0.4356,                 1.1089,                 0.9182,                0.93967,                0.94753,                0.58403,                  1.435,                 0.5524,                 1.5292,              0.0009506,              0.0009506,              0.0009506
                     56,                0.88408,                0.44008,                 1.1172,                0.93319,                0.92555,                0.95157,                0.58837,                 1.4391,                0.58412,                 1.5492,              0.0009308,              0.0009308,              0.0009308
                     57,                0.88012,                0.42095,                 1.1011,                0.92523,                0.93838,                0.95689,                0.58994,                 1.4377,                0.55501,                 1.5213,               0.000911,               0.000911,               0.000911
                     58,                0.86639,                0.42047,                 1.1001,                0.93082,                0.93277,                0.95951,                0.60063,                 1.4474,                0.55337,                 1.5234,              0.0008912,              0.0008912,              0.0008912
                     59,                0.84727,                0.41937,                 1.0906,                0.92736,                0.93407,                0.95678,                0.58531,                 1.4606,                0.56685,                 1.5431,              0.0008714,              0.0008714,              0.0008714
                     60,                0.87103,                0.42716,                 1.0961,                0.92586,                0.93196,                0.95881,                 0.5978,                 1.4555,                0.55473,                 1.5477,              0.0008516,              0.0008516,              0.0008516
                     61,                0.83392,                0.40206,                 1.0805,                 0.9354,                0.93196,                0.95689,                0.59268,                 1.4337,                0.56408,                 1.5272,              0.0008318,              0.0008318,              0.0008318
                     62,                0.81727,                0.39852,                 1.0703,                0.92998,                0.94095,                0.96091,                0.59022,                 1.4316,                  0.549,                 1.5384,               0.000812,               0.000812,               0.000812
                     63,                0.82147,                0.40252,                 1.0739,                0.94529,                0.92298,                 0.9593,                 0.5874,                 1.4536,                0.57274,                 1.5776,              0.0007922,              0.0007922,              0.0007922
                     64,                0.81311,                0.39883,                 1.0702,                0.93699,                0.92683,                0.96142,                0.59924,                  1.449,                0.54339,                 1.5656,              0.0007724,              0.0007724,              0.0007724
                     65,                0.81623,                0.39814,                 1.0683,                0.94483,                0.92169,                0.95931,                0.59458,                 1.4228,                0.53649,                  1.546,              0.0007526,              0.0007526,              0.0007526
                     66,                0.80962,                0.39714,                  1.074,                0.94844,                0.92095,                0.95684,                0.59618,                 1.4612,                0.56625,                 1.5708,              0.0007328,              0.0007328,              0.0007328
                     67,                0.80693,                0.39545,                 1.0637,                0.93795,                0.91913,                0.95967,                0.59777,                 1.4411,                0.56271,                 1.5534,               0.000713,               0.000713,               0.000713
                     68,                0.81006,                0.39774,                 1.0603,                0.93238,                0.92811,                  0.954,                0.59427,                 1.4412,                0.55474,                  1.566,              0.0006932,              0.0006932,              0.0006932
                     69,                0.78571,                0.39135,                 1.0542,                0.92817,                0.94095,                0.95669,                0.59201,                 1.4382,                0.56073,                 1.5874,              0.0006734,              0.0006734,              0.0006734
                     70,                0.78093,                0.38036,                 1.0468,                0.93704,                 0.9371,                0.96056,                0.59916,                 1.4463,                0.54721,                 1.5771,              0.0006536,              0.0006536,              0.0006536
