                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.024,                0.47567,                   1.19,                0.93827,                0.92298,                0.95703,                0.60604,                 1.4077,                0.54651,                 1.4554,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0228,                0.46893,                 1.1833,                0.94431,                0.92426,                0.94924,                0.59963,                 1.3995,                0.55569,                 1.4357,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0296,                0.47258,                 1.1811,                0.94285,                 0.9371,                0.96089,                0.60747,                 1.4134,                0.54784,                 1.4482,               0.000614,               0.000614,               0.000614
                     38,                 1.0221,                0.46866,                 1.1852,                0.94662,                0.91656,                0.95756,                0.60038,                 1.4446,                0.54901,                 1.4703,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0082,                0.46437,                 1.1765,                 0.9395,                0.91702,                0.95528,                0.60758,                    1.4,                0.53547,                 1.4472,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0065,                0.46814,                 1.1733,                0.92993,                0.93696,                0.96046,                0.60381,                 1.4045,                0.53422,                 1.4409,              0.0004952,              0.0004952,              0.0004952
                     41,                0.96266,                0.40599,                 1.1806,                0.93408,                0.92774,                0.95777,                0.60772,                 1.4186,                0.54843,                 1.4621,              0.0004556,              0.0004556,              0.0004556
                     42,                0.94789,                0.39653,                 1.1617,                0.93376,                0.92295,                0.95405,                0.61282,                 1.4091,                  0.549,                 1.4613,               0.000416,               0.000416,               0.000416
                     43,                0.93256,                 0.3822,                 1.1737,                0.95093,                0.92037,                0.96355,                 0.6116,                 1.4112,                 0.5428,                 1.4634,              0.0003764,              0.0003764,              0.0003764
                     44,                 0.9071,                0.37764,                 1.1359,                0.93037,                0.92619,                0.95738,                0.61506,                 1.4169,                0.53451,                 1.4636,              0.0003368,              0.0003368,              0.0003368
                     45,                0.91151,                0.37821,                 1.1539,                0.93728,                0.92683,                0.95451,                0.61019,                 1.4285,                 0.5393,                 1.4732,              0.0002972,              0.0002972,              0.0002972
                     46,                0.88395,                0.36486,                 1.1382,                0.92874,                0.93196,                0.95439,                 0.6158,                 1.4063,                0.52975,                 1.4532,              0.0002576,              0.0002576,              0.0002576
                     47,                0.87085,                0.36494,                 1.1307,                0.94514,                0.90673,                0.95232,                0.61198,                 1.4118,                 0.5438,                 1.4737,               0.000218,               0.000218,               0.000218
                     48,                0.86913,                0.36083,                 1.1176,                0.93569,                0.93391,                0.95682,                0.61283,                 1.4165,                0.53779,                 1.4845,              0.0001784,              0.0001784,              0.0001784
                     49,                0.85045,                0.35353,                  1.112,                0.93442,                0.93289,                0.95874,                0.62262,                 1.4068,                0.52856,                 1.4844,              0.0001388,              0.0001388,              0.0001388
                     50,                0.83466,                0.35689,                 1.1026,                 0.9275,                0.93325,                  0.959,                 0.6196,                 1.4177,                0.53733,                 1.4911,               9.92e-05,               9.92e-05,               9.92e-05
